Country,State,Acronym,ISO 3166-2:AU,Postal State,Type,Capital,Population,Area (km2)
Australia,Ashmore and Cartier Islands ,,,,External ,,0,199
Australia,Australian Antarctic Territory ,,,,External ,(Mawson Station) ,1000,5896500
Australia,Australian Capital Territory ,ACT ,AU-ACT ,ACT ,Territory ,Canberra ,373100,2358
Australia,Christmas Island ,,CX ,,External ,Flying Fish Cove ,2072,135
Australia,Cocos (Keeling) Islands ,,CC ,,External ,West Island ,596,14
Australia,Coral Sea Islands ,,,,External ,(Willis Island) ,4,10
Australia,Heard Island and McDonald Islands ,,HM ,,External ,(Atlas Cove) ,0,372
Australia,Jervis Bay Territory ,,,JBT ,Territory ,(Jervis Bay Village) ,377,70
Australia,New South Wales ,NSW ,AU-NSW ,NSW ,State ,Sydney ,7272800,800642
Australia,Norfolk Island ,,NF ,,External ,Kingston ,2302,35
Australia,Northern Territory ,NT ,AU-NT ,NT ,Territory ,Darwin ,233300,1349129
Australia,Queensland ,QLD,AU-QLD ,QLD ,State ,Brisbane ,4560059,1730648
Australia,South Australia ,SA ,AU-SA ,SA ,State ,Adelaide ,1650600,983482
Australia,Tasmania ,TAS,AU-TAS ,TAS ,State ,Hobart ,512100,68401
Australia,Victoria ,VIC,AU-VIC ,VIC ,State ,Melbourne ,5603100,227416
Australia,Western Australia ,WA ,AU-WA ,WA ,State ,Perth ,2451400,2529875